series,sewer_fullname,age,occupation,placement,residence
7,Jean Gascoigne,NA,Art Psychotherapist,11th,County Down
7,Julie Pygott,62,Beauty Therapist,12th,Rotherham
7,Lawratu Patton,37,Local Authority Officer,10th,Surrey
7,Raph Dilhan,34,Textile Artist,Runner Up,London
7,Rebecca Grimbleby,23,Customer Assistant,Runner Up,Scunthorpe
7,Serena Baker,21,Medical Student,Winner,Edinburgh
8,Angela Fletcher,63,Health Visitor & School Nurse,7th,Lancashire
8,Annie Phillips,32,Fashion Buyer,Winner,Surrey
8,Brogan Sommerville,25,Secondary School Teacher,Runner-Up,Leicestershire
8,Chichi O'Malley,23,Research Analyst,11th,Surrey
8,Cristian Clement,29,Retail Store Manager,5th,Liverpool
8,Debra Drake,51,Communication Lead & Personal Assistant,Runner-Up,North Wales
8,Gill Thomas,44,Public Health Intelligence Analyst,6th,Doncaster
8,Man Yee Woo,25,Actuary,Runner-Up,London
8,Marni Miller,50,Veterinary Surgeon,8th,Devon
8,Mitch Bridgewater,31,Theatre Manager,12th,Cumbria
8,Richy Wedge,34,Baker,10th,Shrewsbury
8,Steve Cowling,32,Personal Running Coach,9th,Newcastle
9,Asmaa Al-Allak,NA,Breast surgeon,1st,Cardiff
9,Catherine Woolley,NA,Computer games designer,12th,West Sussex
9,Fauve Birch,NA,Trainee solicitor,7th,Swansea
9,Gillie Ford,NA,Retired,11th,Nottingham
9,Lauren Tedstone,NA,Fabric shop worker,5th,Midlands
9,Lizzie,NA,Graphic designer and animator,6th,Bristol
9,Maria,NA,Accident and emergency nurse,10th,Fife
9,Matthew,NA,Teaching assistant,9th,Peterborough
9,Mia Bleach,NA,Costume design student,Runner-up,Surrey
9,Tony Rea,NA,Postman,Runner-up,Cornwall
9,Tony W,NA,Primary school teacher,8th,Essex
9,Vicki Reid,NA,Police dispatcher,4th,Lincolnshire
10,Ailsa Lyall,NA,Freelance Events Planner,Runner Up,Glasgow
10,Alex,NA,Copywriter/Editor,5th,Derbyshire
10,Comfort Smithson,NA,Self-Employed Designer and Business Manager,11th,Somerset
10,Don,NA,Retired Research Physicist,9th,Cheshire
10,Georgie Carter,NA,Club & Festival DJ,7th,Isle of Wight
10,Janet Walton,NA,Retired,10th,Doncaster
10,Lauren Haynes,NA,Finance Administrator,8th,Manchester
10,Luke-Matthew Iveson,NA,"Diversity, Equality, and Inclusion Director",1st,Manchester
10,Marcus Holley,NA,Teaching Assistant & Arts Award Coordinator,6th,London
10,Neil Donoghue,NA,Woodwork Instructor,12th,Leicester
10,Pascha Al-Qassab,NA,Student,Runner Up,Guildford
10,Suzy Sankey,NA,Waitress,4th,Liverpool
